Accession	Length	Pred	Proportion	PhaMerScore	PhaMerConfidence	Lineage	PhaGCNScore	Genus	GenusCluster	TYPE	PhaTYPScore	Host	CHERRYScore	Method	Host_NCBI_lineage	Host_GTDB_lineage
NODE_2_length_1583_cov_52.852749	1583	virus	1	0.9	high-confidence	"superkingdom:Viruses;clade:Riboviria;kingdom:Orthornavirae;phylum:Lenarviricota;class:Leviviricetes;order:Norzivirales;family:Fiersviridae;genus:Emesvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Emesvirus	known_genus	virulent	0.65	species:activated sludge metagenome	1	AAI-based	-	-
NODE_2_length_1647_cov_213.688442	1647	virus	0.75	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_2_length_1660_cov_31.554517	1660	virus	0.67	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium acnes	0.94	CRISPR-based (DB)	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes"	"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes"
NODE_2_length_1685_cov_122.318405	1685	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_2_length_1771_cov_146.618298	1771	virus	0.67	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_2_length_1798_cov_662.413081	1798	virus	0.5	1	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_2_length_1825_cov_24.002260	1825	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_2_length_1834_cov_33.216976	1834	virus	0.75	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.77;0.77"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_2_length_2015_cov_55.554592	2015	virus	0.25	0.58	"low-confidence; please run contamination detection task"	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_2_length_2039_cov_22.836694	2039	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_2_length_2329_cov_45.857080	2329	virus	0.5	0.58	"low-confidence; please run contamination detection task"	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_2_length_2987_cov_259.990109	2987	virus	1	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_2_length_676_cov_22.230274	676	virus	0.5	0.5	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Shotokuvirae;phylum:Cossaviricota;class:Papovaviricetes;order:Zurhausenvirales;family:Papillomaviridae;subfamily:Firstpapillomavirinae;genus:Gammapapillomavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Gammapapillomavirus	known_genus	-	0	genus:Homo	1	AAI-based	-	-
NODE_2_length_820_cov_100.471895	820	virus	0.5	0.5	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Shotokuvirae;phylum:Cressdnaviricota;class:Repensiviricetes;order:Geplafuvirales;family:Geminiviridae;genus:Begomovirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Begomovirus	known_genus	-	0	genus:Solanum	1	AAI-based	-	-
NODE_2_length_903_cov_36.715802	903	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Autographiviridae;subfamily:Studiervirinae;genus:Teseptimavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.66;0.66"	Teseptimavirus	known_genus	virulent	1	genus:Escherichia	0.66	AAI-based	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia"	Not found
NODE_2_length_938_cov_301.655719	938	virus	0.5	0.86	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium acnes	1	AAI-based	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes"	Not found
NODE_30_length_577_cov_108.070881	577	virus	0.33	0.89	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	temperate	1	-	0	-	-	-
NODE_30_length_646_cov_102.901861	646	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	temperate	0.99	-	0	-	-	-
NODE_31_length_589_cov_38.668539	589	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_31_length_627_cov_27004.624126	627	non-virus	1	0	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_32_length_575_cov_38.448077	575	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_32_length_627_cov_34.611888	627	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_33_length_557_cov_63.428287	557	virus	0.67	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	temperate	0.99	-	0	-	-	-
NODE_33_length_575_cov_25.915385	575	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_33_length_624_cov_27.460457	624	virus	1	0.99	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Skunavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Skunavirus	known_genus	virulent	1	species:Streptococcus thermophilus	0.93	CRISPR-based (DB)	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus"	"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus"
NODE_34_length_612_cov_28.730700	612	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_34_length_614_cov_27571.096601	614	non-virus	1	0	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_35_length_518_cov_18.818575	518	virus	0.5	0.94	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	temperate	0.99	species:Staphylococcus hominis	0.93	CRISPR-based (DB)	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis"	"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis"
NODE_35_length_605_cov_158.123636	605	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_36_length_599_cov_187.279412	599	virus	0.67	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Sandinevirus"	"1.00;1.00;1.00;1.00;1.00;1.00;0.73;0.73"	Sandinevirus	known_genus	virulent	0.85	species:Lactococcus lactis	0.73	AAI-based	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis"	Not found
NODE_37_length_548_cov_20.042596	548	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_38_length_546_cov_16.272912	546	non-virus	0.5	0.41	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_38_length_597_cov_32.453875	597	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_39_length_542_cov_68.694045	542	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_39_length_594_cov_37.109462	594	non-virus	0.5	0.02	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_3_length_1164_cov_51.055005	1164	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium avidum	1	CRISPR-based (DB)	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"	"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"
NODE_3_length_1222_cov_20.740360	1222	virus	0.67	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Derbicusvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Derbicusvirus	known_genus	virulent	1	genus:Erwinia	1	AAI-based	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia"	Not found
NODE_3_length_1238_cov_32.033812	1238	virus	0.5	0.99	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Derbicusvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Derbicusvirus	known_genus	virulent	1	genus:Erwinia	1	AAI-based	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia"	Not found
NODE_3_length_1275_cov_219.785246	1275	virus	0.67	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_3_length_1345_cov_63.006202	1345	virus	0.5	1	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	temperate	0.88	-	0	-	-	-
NODE_3_length_1526_cov_29.265126	1526	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium avidum	1	CRISPR-based (DB)	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"	"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"
NODE_3_length_1563_cov_14.665119	1563	non-virus	0.33	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_3_length_1708_cov_280.001815	1708	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_3_length_1762_cov_107.482132	1762	virus	0.67	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_3_length_1790_cov_49.318156	1790	virus	0.25	0.58	"low-confidence; please run contamination detection task"	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_3_length_1840_cov_414.853782	1840	virus	0.5	0.9	medium-confidence	"superkingdom:Viruses;clade:Riboviria;kingdom:Orthornavirae;phylum:Lenarviricota;class:Leviviricetes;order:Norzivirales;family:Fiersviridae;genus:Emesvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Emesvirus	known_genus	virulent	0.65	species:activated sludge metagenome	1	AAI-based	-	-
NODE_3_length_2279_cov_309.497752	2279	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_3_length_2549_cov_281.408180	2549	virus	0.75	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_3_length_2740_cov_315.104655	2740	virus	0.8	1	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_3_length_3307_cov_1031.702645	3307	virus	1	0.99	high-confidence	"superkingdom:Viruses;clade:Riboviria;kingdom:Orthornavirae;phylum:Lenarviricota;class:Leviviricetes;order:Norzivirales;family:Fiersviridae;genus:Emesvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Emesvirus	known_genus	temperate	0.88	species:activated sludge metagenome	1	AAI-based	-	-
NODE_3_length_569_cov_7.680934	569	virus	0.5	0.58	"low-confidence; please run contamination detection task"	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium avidum	1	CRISPR-based (DB)	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"	"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"
NODE_3_length_572_cov_36.460348	572	virus	0.67	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_3_length_652_cov_23.527638	652	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_3_length_681_cov_8.546326	681	virus	0.5	0.98	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Coetzeevirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Coetzeevirus	known_genus	virulent	0.53	species:Lactobacillus wasatchensis	0.93	CRISPR-based (DB)	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus wasatchensis"	"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Paucilactobacillus;s__Paucilactobacillus wasatchensis"
NODE_3_length_778_cov_11.460581	778	virus	1	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_3_length_859_cov_33.752488	859	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_3_length_877_cov_14.902676	877	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_3_length_989_cov_30.858672	989	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_41_length_579_cov_104.744275	579	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_42_length_535_cov_23.408333	535	virus	0.5	0.99	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Zierdtviridae;subfamily:Toshachvirinae;genus:Ceetrepovirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Ceetrepovirus	known_genus	virulent	1	species:Corynebacterium vitaeruminis	1	AAI-based	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis"	Not found
